URL,Bug Type,Language,Component,Root Cause,Effect,Framework,Rational
https://github.com/OpenGVLab/Ask-Anything/issues/231,Availability Bug (AVB),Python,Tools,API Limitation (AL),Unknown (UN),Langchain,"BT:  Model not available in the provided link
RC:  API link is not working
ET: Says links are down. No details provided. "
https://github.com/cognizant-ai-lab/neuro-san-studio/issues/168,Logic Bug (LB),Python,Tools,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Crash (CR),Langchain,"BT: File path incorrectly formatted
RC: Incorrectly implemented the file path format
ET:  Throws FileNotFoundError"
https://github.com/intel/ipex-llm/issues/9065,Prompting Bug (PPB),Python,Unknown,API Misuse-Invalid API Arguments (AM.IAA),Warning (WR),Langchain,"BT: Passed prompt with higher langth
RC: Prompt vaiable got unexpected length input
ET: Throws Warning: expect poor results"
https://github.com/intel/ipex-llm/issues/10360,Availability Bug (AVB),Python,Other,API Limitation (AL),Crash (CR),Langchain,"BT: We currently do not support the use of f16 and Yuan2 gguf model, and are trying to support it.
RC: Asked for an unsupported model
ET: Throws RuntimeError: Unsupported gguf quantize type: 1"
https://github.com/intel/ipex-llm/issues/12087,Resource Limitation Bug (RLB),Python,Unknown,Others,Crash (CR),Langchain,"BT: Didn't reproduce this error. 
RC: The issue was not reproduced, indicating problems in the user system
ET: Throws aysncio.exceptions.CancelledError"
https://github.com/aws-solutions-library-samples/guidance-for-natural-language-queries-of-relational-databases-on-aws/issues/30,Logic Bug (LB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Crash (CR),Langchain,"BT: Incorrect path provided
RC: Formatted string had bugs
ET:  Throws FileNotFoundError
ER: avatar=f""{BASE_AVATAR_URL}/bot-64px.png"",
 https://github.com/aws-solutions-library-samples/guidance-for-natural-language-queries-of-relational-databases-on-aws/pull/31/commits/46743580c036f1b16d2ac633d558749cab6b9c9c"
https://github.com/intel/ipex-llm/issues/11797,Argument Bug (AB),Python,Unknown,API Misuse-Invalid API Arguments (AM.IAA),Crash (CR),Langchain,"BT: I believe this is because of you pass a tokenizer instance to where the arg expects a MiniCPMVImageProcessor instance in chat.
RC: Incorrectly invoked API with wrong parameter 
ET: Throws AttributeError"
https://github.com/intel/ipex-llm/issues/12184,Resource Limitation Bug (RLB),Python,Unknown,Others,Crash (CR),Langchain,"BT: I have checked, and the Intel Xeon E5-2620 v3 does not support AVX-512 or AMX. My PC’s Intel Core i7-12700H also does not support AVX-512 or AMX.
RC: The issue is in the user's end
ET: Illegal Instruction (Core Dumped) "
https://github.com/intel/ipex-llm/issues/11159,Resource Limitation Bug (RLB),Python,Unknown,Others,Crash (CR),Langchain,"BT: No speprate env created for installation. 
RC:  Issue in the user's end
ET: Throws no matching distribution found"
https://github.com/kyegomez/swarms/issues/367,Configuration Bug (CB),Python,Tools,Incorrect or Missing Parameter Value-Incorrect Value (IMP.IV),Incorrect Output (IO),Langchain,"BT: RecursiveCharacterTextSplitter configured incorrectly
RC: chunk_overlap and separators got incorrect parameters 
ET: Created chunk size higher than the specified size"
https://github.com/argilla-io/argilla/issues/5718,Logic Bug (LB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Incorrect Output (IO),Langchain,"BT: _Iterator class and  __getitem__ method had some implementation error
RC: Incorrect return statement returned object instead of reult
ET: Returned one instance instead of three
ER: return self._from_model(model).get()
https://github.com/argilla-io/argilla/pull/5753/commits/9e7d2555642ac54d62bdd10d38cee5bf577a0cf6"
https://github.com/argilla-io/argilla/issues/5570,API Bug (APIB),Python,Tools,Requirement Violation (RV),Crash (CR),Langchain,"BT: I didn't know I had to pull the latest docker image, after doing that it now works.
RC: Did not use the latest image.
ET: Throws HTTPStatusError"
https://github.com/OpenGVLab/Ask-Anything/issues/190,API Bug (APIB),Python,Agent Core,Requirement Violation (RV),Silent Fail (SF),Langchain,"BT: Using the correct version of packages solved all the errors mentioned above.
RC: Version of peft and transformers was updated on the user's machine
ET: The loss is nan instead of a number"
https://github.com/intel/ipex-llm/issues/13038,API Bug (APIB),Python,Tools,API Limitation (AL),Crash (CR),Langchain,"BT: we are upgrading ipex-llm ollama into v0.6.x, and gemma3 will be supported then.
RC:  Requested for an unsupported model
ET: Unclear from the log"
https://github.com/intel/ipex-llm/issues/10845,API Bug (APIB),Python,Unknown,Requirement Violation (RV),Crash (CR),Langchain,"BT: DO NOT USE pip to install oneapi 
RC: Incorrectly installed oneai API 
ET: Throws ValueError"
https://github.com/activeloopai/deeplake/issues/1546,Logic Bug (LB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Crash (CR),Langchain,"BT: Image reading logic does not cover all senarios
RC: Previous code of image reading assues the image is always from local directory
ET: Throws File not found error
ER: if self.path.startswith(""http""):
                        img = Image.open(urlopen(self.path))
                    else:
                        img = Image.open(self.path)
https://github.com/activeloopai/deeplake/pull/1586/commits/24719b369e2cbcd360f2a0b22b5153976f16623a"
https://github.com/refuel-ai/autolabel/issues/440,API Bug (APIB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Crash (CR),Langchain,"BT: read_file no longer exists in the DatasetLoader
RC: read_file controll flow not updated when DatasetLoader was changed
ET: Throws AttributeError
ER:
seed_loader = DatasetLoader(seed_examples, self.config)
            seed_examples = seed_loader.inputs
https://github.com/refuel-ai/autolabel/pull/441/commits/b3173249a7f011d32637f3826897262b4cf39331"
